Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,66;0,06;0,06;1119;133;190
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,47;0,07;0,07;1128;69;69
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,23;0,06;0,06;1131;40;40
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,21;0,04;0,04;1131;76;76
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,36;0,07;0,07;1132;82;82
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,42;0,07;0,07;1132;82;82
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,62;0,07;0,07;1132;82;82
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,54;0,14;0,14;1135;47;47
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,01;0,16;0,16;1135;64;67
New Zealand;Blueskin Bay;Gibb (1986);shells;-45,720;170,350;0,02;0,45;0,45;1136;116;116
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,64;0,20;0,20;1142;46;140
