Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,41;0,16;0,16;809;66;64
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,09;0,35;0,35;809;115;115
Santa Catarina, Brazil;Cape of Santa Marta;Angulo et al. (1999);vermetid;-28,605;-48,815;1,05;0,50;0,50;811;220;220
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,11;0,36;0,36;815;175;175
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,640;-1,79;0,39;0,39;817;155;155
New Jersey, USA;Great Bay;"Miller et al. (2009); Compiled in Horton et al. (2013)";plants;39,510;-74,320;-1,45;0,15;0,15;817;124;124
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-2,03;0,11;0,11;819;49;49
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,62;0,06;0,06;821;59;59
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,82;0,20;0,20;823;27;38
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,43;0,16;0,16;826;66;65
New Jersey, USA;Cheesequake Marsh;"Cinquemani et al. (1982); Compiled in Horton et al. (2013)";plants;40,400;-74,300;-2,62;0,42;0,42;826;386;386
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,05;0,10;0,05;827;132;146
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,50;0,23;0,23;831;114;117
Denmark;Ho Bugt;"Gehrels et al. (2006b); Szkornik et al. (2008)";diatoms;55,583;-8,267;-0,63;0,23;0,23;832;134;168
Santa Catarina, Brazil;Ponta da Ilhota;Angulo et al. (1999);vermetid;-28,536;-48,760;1,05;0,50;0,50;833;152;152
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,99;0,09;0,09;835;48;48
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,34;0,16;0,16;843;66;65
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,58;0,06;0,06;845;59;59
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,270;-72,680;-1,44;0,33;0,33;848;138;138
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,62;0,21;0,21;849;320;320
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,93;0,11;0,11;849;41;41
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,14;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,15;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,07;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,15;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,17;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,15;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,06;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,12;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,10;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,14;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,18;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,15;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,02;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,23;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,08;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,13;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;0,02;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,18;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,06;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,18;0,07;0,07;855;105;105
